Nama.Latin,ANJA,ANJAS,SMM,KAL,PMP,PPM,ANJAP
Siput,0,0,0,0,0,0,0
Sphenomorphus sp.,0,0,0,0,0,0,0
Spilocuscus maculatus,0,0,0,0,0,0,1
Spilocuscus rufoniger,0,0,0,0,0,0,1
Spilocuscus wilsoni,0,0,0,0,0,0,0
Spilornis cheela,0,0,3,5,0,0,0
Spinaria spinator,0,0,0,0,0,0,0
Stachyris rufifrons,0,0,0,0,0,0,0
Stagmomantis Carolina,0,0,0,0,0,0,0
Statmimanthis,0,0,0,0,0,0,0
Sterna albifrons,0,0,0,0,0,0,311
Sterna dougallii,0,0,0,0,0,0,5
Sterna hirundo,0,0,0,0,0,0,0
Streptopelia chinensis,2,0,6,13,0,0,0
Sturnidae sp,0,0,0,0,0,0,0
Sus scrofa,0,0,0,0,20,8,6
Susica Pallida,0,0,0,0,0,0,0
Syma torotoro,0,0,0,0,0,0,0
Symphalangus syndactylus,0,0,0,0,0,0,0
Synbranchidae,0,0,0,0,0,0,1
Tabanidae,0,0,0,0,0,0,0
Tadorna radjah,0,0,0,0,0,0,8
Takydromus sexlineatus,0,0,0,0,0,0,0
Talegalla cuvieri,0,0,0,0,0,0,1
Talegalla jobiensis,0,0,0,0,1,0,0
Tarantula putih,0,0,0,0,0,0,0
Tarsius bancanus ssp. saltator,0,0,1,0,0,0,0
Tephrodornis gularis,0,0,0,0,0,0,0
Threskiornis aethiopicus,0,0,0,0,0,0,1
Thylogale brunii,0,0,0,0,3,0,0
Tikus,0,0,0,0,0,0,0
Tiliqua scincoides,0,0,0,0,3,2,0
