,Nama.Latin,closestMatch,ANJA,ANJAS,SMM,KAL,PMP,PPM,ANJAP,sum
235,Glareola maldivarum,0,0,0,0,0,0,0,0,0
236,Glossogobius giuris,0,0,0,0,0,0,0,0,0
237,Golden Massher,0,0,0,0,0,0,0,0,0
238,Goura cristata,0,0,0,0,0,6,0,0,6
239,Gracula religiosa,0,0,14,0,0,0,0,0,14
240,Gracupica contra,0,0,4,0,5,0,0,0,9
241,Halcyon smyrnensis,0,3,0,132,0,0,0,0,135
242,Haliaeetus leucogaster,0,0,0,0,0,1,5,0,6
243,Haliastur indus,0,0,0,0,0,2,25,17,44
244,Haliastur Sphenurus,0,0,0,0,0,0,4,1,5
245,Hapithus agigator,0,0,0,0,0,0,0,0,0
246,Harpactes erythrocephalus,0,0,0,0,0,0,0,0,0
247,Harpyopsis novaeguineae,0,0,0,0,0,0,0,1,1
248,Hemipus hirundinaceus,0,0,0,1,0,0,0,0,1
249,Henicopernis longicauda,0,0,0,0,0,0,0,0,0
250,Heosemys spinosa,0,0,0,0,0,0,0,0,0
251,Hierodula vitrea,0,0,0,0,7,0,0,0,7
252,Hirundo rustica,0,0,0,0,0,0,0,2,2
253,Hirundo sp,0,2,0,0,0,0,0,0,2
254,Hirundo tahitica,0,0,0,0,33,0,0,0,33
255,Homolopsis buccata,0,0,0,0,0,0,0,0,0
256,Hydroprogne caspia,0,0,0,0,0,0,0,0,0
257,Hydrosaurus amboinensis,0,0,0,0,0,0,1,0,1
258,Hydrosaurus weberi,0,0,0,0,0,0,0,0,0
259,Hylobates agilis,0,0,0,0,0,0,0,0,0
